table_index,name,kernel,arity,go,rust,cpp,c,python,zig,julia,nim,csharp,java,kotlin,swift
359,pos.to.env,environment,1,go:environment:pos.to.env,rust:environment:pos.to.env,cpp:environment:pos.to.env,c:environment:pos.to.env,python:environment:pos.to.env,zig:environment:pos.to.env,julia:environment:pos.to.env,nim:environment:pos.to.env,csharp:environment:pos.to.env,java:environment:pos.to.env,kotlin:environment:pos.to.env,swift:environment:pos.to.env
360,.C,runtime,-1,go:runtime:.C,rust:runtime:.C,cpp:runtime:.C,c:runtime:.C,python:runtime:.C,zig:runtime:.C,julia:runtime:.C,nim:runtime:.C,csharp:runtime:.C,java:runtime:.C,kotlin:runtime:.C,swift:runtime:.C
361,.Fortran,runtime,-1,go:runtime:.Fortran,rust:runtime:.Fortran,cpp:runtime:.Fortran,c:runtime:.Fortran,python:runtime:.Fortran,zig:runtime:.Fortran,julia:runtime:.Fortran,nim:runtime:.Fortran,csharp:runtime:.Fortran,java:runtime:.Fortran,kotlin:runtime:.Fortran,swift:runtime:.Fortran
362,.External,runtime,-1,go:runtime:.External,rust:runtime:.External,cpp:runtime:.External,c:runtime:.External,python:runtime:.External,zig:runtime:.External,julia:runtime:.External,nim:runtime:.External,csharp:runtime:.External,java:runtime:.External,kotlin:runtime:.External,swift:runtime:.External
363,.External2,runtime,-1,go:runtime:.External2,rust:runtime:.External2,cpp:runtime:.External2,c:runtime:.External2,python:runtime:.External2,zig:runtime:.External2,julia:runtime:.External2,nim:runtime:.External2,csharp:runtime:.External2,java:runtime:.External2,kotlin:runtime:.External2,swift:runtime:.External2
364,.Call,runtime,-1,go:runtime:.Call,rust:runtime:.Call,cpp:runtime:.Call,c:runtime:.Call,python:runtime:.Call,zig:runtime:.Call,julia:runtime:.Call,nim:runtime:.Call,csharp:runtime:.Call,java:runtime:.Call,kotlin:runtime:.Call,swift:runtime:.Call
365,.External.graphics,runtime,-1,go:runtime:.External.graphics,rust:runtime:.External.graphics,cpp:runtime:.External.graphics,c:runtime:.External.graphics,python:runtime:.External.graphics,zig:runtime:.External.graphics,julia:runtime:.External.graphics,nim:runtime:.External.graphics,csharp:runtime:.External.graphics,java:runtime:.External.graphics,kotlin:runtime:.External.graphics,swift:runtime:.External.graphics
366,.Call.graphics,runtime,-1,go:runtime:.Call.graphics,rust:runtime:.Call.graphics,cpp:runtime:.Call.graphics,c:runtime:.Call.graphics,python:runtime:.Call.graphics,zig:runtime:.Call.graphics,julia:runtime:.Call.graphics,nim:runtime:.Call.graphics,csharp:runtime:.Call.graphics,java:runtime:.Call.graphics,kotlin:runtime:.Call.graphics,swift:runtime:.Call.graphics
367,eapply,language,4,go:language:eapply,rust:language:eapply,cpp:language:eapply,c:language:eapply,python:language:eapply,zig:language:eapply,julia:language:eapply,nim:language:eapply,csharp:language:eapply,java:language:eapply,kotlin:language:eapply,swift:language:eapply
368,lapply,language,2,go:language:lapply,rust:language:lapply,cpp:language:lapply,c:language:lapply,python:language:lapply,zig:language:lapply,julia:language:lapply,nim:language:lapply,csharp:language:lapply,java:language:lapply,kotlin:language:lapply,swift:language:lapply
369,vapply,language,4,go:language:vapply,rust:language:vapply,cpp:language:vapply,c:language:vapply,python:language:vapply,zig:language:vapply,julia:language:vapply,nim:language:vapply,csharp:language:vapply,java:language:vapply,kotlin:language:vapply,swift:language:vapply
370,mapply,runtime,3,go:runtime:mapply,rust:runtime:mapply,cpp:runtime:mapply,c:runtime:mapply,python:runtime:mapply,zig:runtime:mapply,julia:runtime:mapply,nim:runtime:mapply,csharp:runtime:mapply,java:runtime:mapply,kotlin:runtime:mapply,swift:runtime:mapply
371,Version,runtime,0,go:runtime:Version,rust:runtime:Version,cpp:runtime:Version,c:runtime:Version,python:runtime:Version,zig:runtime:Version,julia:runtime:Version,nim:runtime:Version,csharp:runtime:Version,java:runtime:Version,kotlin:runtime:Version,swift:runtime:Version
372,machine,runtime,0,go:runtime:machine,rust:runtime:machine,cpp:runtime:machine,c:runtime:machine,python:runtime:machine,zig:runtime:machine,julia:runtime:machine,nim:runtime:machine,csharp:runtime:machine,java:runtime:machine,kotlin:runtime:machine,swift:runtime:machine
373,commandArgs,runtime,0,go:runtime:commandArgs,rust:runtime:commandArgs,cpp:runtime:commandArgs,c:runtime:commandArgs,python:runtime:commandArgs,zig:runtime:commandArgs,julia:runtime:commandArgs,nim:runtime:commandArgs,csharp:runtime:commandArgs,java:runtime:commandArgs,kotlin:runtime:commandArgs,swift:runtime:commandArgs
374,internalsID,runtime,0,go:runtime:internalsID,rust:runtime:internalsID,cpp:runtime:internalsID,c:runtime:internalsID,python:runtime:internalsID,zig:runtime:internalsID,julia:runtime:internalsID,nim:runtime:internalsID,csharp:runtime:internalsID,java:runtime:internalsID,kotlin:runtime:internalsID,swift:runtime:internalsID
375,system,runtime,7,go:runtime:system,rust:runtime:system,cpp:runtime:system,c:runtime:system,python:runtime:system,zig:runtime:system,julia:runtime:system,nim:runtime:system,csharp:runtime:system,java:runtime:system,kotlin:runtime:system,swift:runtime:system
376,system,runtime,4,go:runtime:system,rust:runtime:system,cpp:runtime:system,c:runtime:system,python:runtime:system,zig:runtime:system,julia:runtime:system,nim:runtime:system,csharp:runtime:system,java:runtime:system,kotlin:runtime:system,swift:runtime:system
377,shell.exec,runtime,1,go:runtime:shell.exec,rust:runtime:shell.exec,cpp:runtime:shell.exec,c:runtime:shell.exec,python:runtime:shell.exec,zig:runtime:shell.exec,julia:runtime:shell.exec,nim:runtime:shell.exec,csharp:runtime:shell.exec,java:runtime:shell.exec,kotlin:runtime:shell.exec,swift:runtime:shell.exec
378,Sys.which,runtime,1,go:runtime:Sys.which,rust:runtime:Sys.which,cpp:runtime:Sys.which,c:runtime:Sys.which,python:runtime:Sys.which,zig:runtime:Sys.which,julia:runtime:Sys.which,nim:runtime:Sys.which,csharp:runtime:Sys.which,java:runtime:Sys.which,kotlin:runtime:Sys.which,swift:runtime:Sys.which
379,mkjunction,system,2,go:system:mkjunction,rust:system:mkjunction,cpp:system:mkjunction,c:system:mkjunction,python:system:mkjunction,zig:system:mkjunction,julia:system:mkjunction,nim:system:mkjunction,csharp:system:mkjunction,java:system:mkjunction,kotlin:system:mkjunction,swift:system:mkjunction
380,tzone_name,runtime,0,go:runtime:tzone_name,rust:runtime:tzone_name,cpp:runtime:tzone_name,c:runtime:tzone_name,python:runtime:tzone_name,zig:runtime:tzone_name,julia:runtime:tzone_name,nim:runtime:tzone_name,csharp:runtime:tzone_name,java:runtime:tzone_name,kotlin:runtime:tzone_name,swift:runtime:tzone_name
381,parse,runtime,6,go:runtime:parse,rust:runtime:parse,cpp:runtime:parse,c:runtime:parse,python:runtime:parse,zig:runtime:parse,julia:runtime:parse,nim:runtime:parse,csharp:runtime:parse,java:runtime:parse,kotlin:runtime:parse,swift:runtime:parse
382,parse_Rd,runtime,7,go:runtime:parse_Rd,rust:runtime:parse_Rd,cpp:runtime:parse_Rd,c:runtime:parse_Rd,python:runtime:parse_Rd,zig:runtime:parse_Rd,julia:runtime:parse_Rd,nim:runtime:parse_Rd,csharp:runtime:parse_Rd,java:runtime:parse_Rd,kotlin:runtime:parse_Rd,swift:runtime:parse_Rd
383,deparseRd,runtime,2,go:runtime:deparseRd,rust:runtime:deparseRd,cpp:runtime:deparseRd,c:runtime:deparseRd,python:runtime:deparseRd,zig:runtime:deparseRd,julia:runtime:deparseRd,nim:runtime:deparseRd,csharp:runtime:deparseRd,java:runtime:deparseRd,kotlin:runtime:deparseRd,swift:runtime:deparseRd
384,parseLatex,runtime,5,go:runtime:parseLatex,rust:runtime:parseLatex,cpp:runtime:parseLatex,c:runtime:parseLatex,python:runtime:parseLatex,zig:runtime:parseLatex,julia:runtime:parseLatex,nim:runtime:parseLatex,csharp:runtime:parseLatex,java:runtime:parseLatex,kotlin:runtime:parseLatex,swift:runtime:parseLatex
385,save,serialization,6,go:serialization:save,rust:serialization:save,cpp:serialization:save,c:serialization:save,python:serialization:save,zig:serialization:save,julia:serialization:save,nim:serialization:save,csharp:serialization:save,java:serialization:save,kotlin:serialization:save,swift:serialization:save
386,saveToConn,serialization,6,go:serialization:saveToConn,rust:serialization:saveToConn,cpp:serialization:saveToConn,c:serialization:saveToConn,python:serialization:saveToConn,zig:serialization:saveToConn,julia:serialization:saveToConn,nim:serialization:saveToConn,csharp:serialization:saveToConn,java:serialization:saveToConn,kotlin:serialization:saveToConn,swift:serialization:saveToConn
387,load,serialization,2,go:serialization:load,rust:serialization:load,cpp:serialization:load,c:serialization:load,python:serialization:load,zig:serialization:load,julia:serialization:load,nim:serialization:load,csharp:serialization:load,java:serialization:load,kotlin:serialization:load,swift:serialization:load
388,loadFromConn2,serialization,3,go:serialization:loadFromConn2,rust:serialization:loadFromConn2,cpp:serialization:loadFromConn2,c:serialization:loadFromConn2,python:serialization:loadFromConn2,zig:serialization:loadFromConn2,julia:serialization:loadFromConn2,nim:serialization:loadFromConn2,csharp:serialization:loadFromConn2,java:serialization:loadFromConn2,kotlin:serialization:loadFromConn2,swift:serialization:loadFromConn2
389,loadInfoFromConn2,serialization,1,go:serialization:loadInfoFromConn2,rust:serialization:loadInfoFromConn2,cpp:serialization:loadInfoFromConn2,c:serialization:loadInfoFromConn2,python:serialization:loadInfoFromConn2,zig:serialization:loadInfoFromConn2,julia:serialization:loadInfoFromConn2,nim:serialization:loadInfoFromConn2,csharp:serialization:loadInfoFromConn2,java:serialization:loadInfoFromConn2,kotlin:serialization:loadInfoFromConn2,swift:serialization:loadInfoFromConn2
390,serializeToConn,serialization,5,go:serialization:serializeToConn,rust:serialization:serializeToConn,cpp:serialization:serializeToConn,c:serialization:serializeToConn,python:serialization:serializeToConn,zig:serialization:serializeToConn,julia:serialization:serializeToConn,nim:serialization:serializeToConn,csharp:serialization:serializeToConn,java:serialization:serializeToConn,kotlin:serialization:serializeToConn,swift:serialization:serializeToConn
391,unserializeFromConn,serialization,2,go:serialization:unserializeFromConn,rust:serialization:unserializeFromConn,cpp:serialization:unserializeFromConn,c:serialization:unserializeFromConn,python:serialization:unserializeFromConn,zig:serialization:unserializeFromConn,julia:serialization:unserializeFromConn,nim:serialization:unserializeFromConn,csharp:serialization:unserializeFromConn,java:serialization:unserializeFromConn,kotlin:serialization:unserializeFromConn,swift:serialization:unserializeFromConn
392,serializeInfoFromConn,serialization,1,go:serialization:serializeInfoFromConn,rust:serialization:serializeInfoFromConn,cpp:serialization:serializeInfoFromConn,c:serialization:serializeInfoFromConn,python:serialization:serializeInfoFromConn,zig:serialization:serializeInfoFromConn,julia:serialization:serializeInfoFromConn,nim:serialization:serializeInfoFromConn,csharp:serialization:serializeInfoFromConn,java:serialization:serializeInfoFromConn,kotlin:serialization:serializeInfoFromConn,swift:serialization:serializeInfoFromConn
393,deparse,runtime,5,go:runtime:deparse,rust:runtime:deparse,cpp:runtime:deparse,c:runtime:deparse,python:runtime:deparse,zig:runtime:deparse,julia:runtime:deparse,nim:runtime:deparse,csharp:runtime:deparse,java:runtime:deparse,kotlin:runtime:deparse,swift:runtime:deparse
394,dput,runtime,3,go:runtime:dput,rust:runtime:dput,cpp:runtime:dput,c:runtime:dput,python:runtime:dput,zig:runtime:dput,julia:runtime:dput,nim:runtime:dput,csharp:runtime:dput,java:runtime:dput,kotlin:runtime:dput,swift:runtime:dput
395,dump,runtime,5,go:runtime:dump,rust:runtime:dump,cpp:runtime:dump,c:runtime:dump,python:runtime:dump,zig:runtime:dump,julia:runtime:dump,nim:runtime:dump,csharp:runtime:dump,java:runtime:dump,kotlin:runtime:dump,swift:runtime:dump
396,quit,runtime,3,go:runtime:quit,rust:runtime:quit,cpp:runtime:quit,c:runtime:quit,python:runtime:quit,zig:runtime:quit,julia:runtime:quit,nim:runtime:quit,csharp:runtime:quit,java:runtime:quit,kotlin:runtime:quit,swift:runtime:quit
397,readline,io,1,go:io:readline,rust:io:readline,cpp:io:readline,c:io:readline,python:io:readline,zig:io:readline,julia:io:readline,nim:io:readline,csharp:io:readline,java:io:readline,kotlin:io:readline,swift:io:readline
398,print.default,runtime,3,go:runtime:print.default,rust:runtime:print.default,cpp:runtime:print.default,c:runtime:print.default,python:runtime:print.default,zig:runtime:print.default,julia:runtime:print.default,nim:runtime:print.default,csharp:runtime:print.default,java:runtime:print.default,kotlin:runtime:print.default,swift:runtime:print.default
399,prmatrix,matrix,6,go:matrix:prmatrix,rust:matrix:prmatrix,cpp:matrix:prmatrix,c:matrix:prmatrix,python:matrix:prmatrix,zig:matrix:prmatrix,julia:matrix:prmatrix,nim:matrix:prmatrix,csharp:matrix:prmatrix,java:matrix:prmatrix,kotlin:matrix:prmatrix,swift:matrix:prmatrix
400,gc,runtime,3,go:runtime:gc,rust:runtime:gc,cpp:runtime:gc,c:runtime:gc,python:runtime:gc,zig:runtime:gc,julia:runtime:gc,nim:runtime:gc,csharp:runtime:gc,java:runtime:gc,kotlin:runtime:gc,swift:runtime:gc
401,gcinfo,runtime,1,go:runtime:gcinfo,rust:runtime:gcinfo,cpp:runtime:gcinfo,c:runtime:gcinfo,python:runtime:gcinfo,zig:runtime:gcinfo,julia:runtime:gcinfo,nim:runtime:gcinfo,csharp:runtime:gcinfo,java:runtime:gcinfo,kotlin:runtime:gcinfo,swift:runtime:gcinfo
402,gctorture,runtime,1,go:runtime:gctorture,rust:runtime:gctorture,cpp:runtime:gctorture,c:runtime:gctorture,python:runtime:gctorture,zig:runtime:gctorture,julia:runtime:gctorture,nim:runtime:gctorture,csharp:runtime:gctorture,java:runtime:gctorture,kotlin:runtime:gctorture,swift:runtime:gctorture
403,gctorture2,runtime,3,go:runtime:gctorture2,rust:runtime:gctorture2,cpp:runtime:gctorture2,c:runtime:gctorture2,python:runtime:gctorture2,zig:runtime:gctorture2,julia:runtime:gctorture2,nim:runtime:gctorture2,csharp:runtime:gctorture2,java:runtime:gctorture2,kotlin:runtime:gctorture2,swift:runtime:gctorture2
404,memory.profile,io,0,go:io:memory.profile,rust:io:memory.profile,cpp:io:memory.profile,c:io:memory.profile,python:io:memory.profile,zig:io:memory.profile,julia:io:memory.profile,nim:io:memory.profile,csharp:io:memory.profile,java:io:memory.profile,kotlin:io:memory.profile,swift:io:memory.profile
405,mem.maxVSize,runtime,1,go:runtime:mem.maxVSize,rust:runtime:mem.maxVSize,cpp:runtime:mem.maxVSize,c:runtime:mem.maxVSize,python:runtime:mem.maxVSize,zig:runtime:mem.maxVSize,julia:runtime:mem.maxVSize,nim:runtime:mem.maxVSize,csharp:runtime:mem.maxVSize,java:runtime:mem.maxVSize,kotlin:runtime:mem.maxVSize,swift:runtime:mem.maxVSize
406,mem.maxNSize,runtime,1,go:runtime:mem.maxNSize,rust:runtime:mem.maxNSize,cpp:runtime:mem.maxNSize,c:runtime:mem.maxNSize,python:runtime:mem.maxNSize,zig:runtime:mem.maxNSize,julia:runtime:mem.maxNSize,nim:runtime:mem.maxNSize,csharp:runtime:mem.maxNSize,java:runtime:mem.maxNSize,kotlin:runtime:mem.maxNSize,swift:runtime:mem.maxNSize
407,split,runtime,2,go:runtime:split,rust:runtime:split,cpp:runtime:split,c:runtime:split,python:runtime:split,zig:runtime:split,julia:runtime:split,nim:runtime:split,csharp:runtime:split,java:runtime:split,kotlin:runtime:split,swift:runtime:split
408,is.loaded,serialization,-1,go:serialization:is.loaded,rust:serialization:is.loaded,cpp:serialization:is.loaded,c:serialization:is.loaded,python:serialization:is.loaded,zig:serialization:is.loaded,julia:serialization:is.loaded,nim:serialization:is.loaded,csharp:serialization:is.loaded,java:serialization:is.loaded,kotlin:serialization:is.loaded,swift:serialization:is.loaded
409,recordGraphics,runtime,3,go:runtime:recordGraphics,rust:runtime:recordGraphics,cpp:runtime:recordGraphics,c:runtime:recordGraphics,python:runtime:recordGraphics,zig:runtime:recordGraphics,julia:runtime:recordGraphics,nim:runtime:recordGraphics,csharp:runtime:recordGraphics,java:runtime:recordGraphics,kotlin:runtime:recordGraphics,swift:runtime:recordGraphics
410,dyn.load,serialization,4,go:serialization:dyn.load,rust:serialization:dyn.load,cpp:serialization:dyn.load,c:serialization:dyn.load,python:serialization:dyn.load,zig:serialization:dyn.load,julia:serialization:dyn.load,nim:serialization:dyn.load,csharp:serialization:dyn.load,java:serialization:dyn.load,kotlin:serialization:dyn.load,swift:serialization:dyn.load
411,dyn.unload,serialization,1,go:serialization:dyn.unload,rust:serialization:dyn.unload,cpp:serialization:dyn.unload,c:serialization:dyn.unload,python:serialization:dyn.unload,zig:serialization:dyn.unload,julia:serialization:dyn.unload,nim:serialization:dyn.unload,csharp:serialization:dyn.unload,java:serialization:dyn.unload,kotlin:serialization:dyn.unload,swift:serialization:dyn.unload
412,ls,environment,3,go:environment:ls,rust:environment:ls,cpp:environment:ls,c:environment:ls,python:environment:ls,zig:environment:ls,julia:environment:ls,nim:environment:ls,csharp:environment:ls,java:environment:ls,kotlin:environment:ls,swift:environment:ls
413,typeof,runtime,1,go:runtime:typeof,rust:runtime:typeof,cpp:runtime:typeof,c:runtime:typeof,python:runtime:typeof,zig:runtime:typeof,julia:runtime:typeof,nim:runtime:typeof,csharp:runtime:typeof,java:runtime:typeof,kotlin:runtime:typeof,swift:runtime:typeof
414,eval,language,3,go:language:eval,rust:language:eval,cpp:language:eval,c:language:eval,python:language:eval,zig:language:eval,julia:language:eval,nim:language:eval,csharp:language:eval,java:language:eval,kotlin:language:eval,swift:language:eval
415,Exec,language,-1,go:language:Exec,rust:language:Exec,cpp:language:Exec,c:language:Exec,python:language:Exec,zig:language:Exec,julia:language:Exec,nim:language:Exec,csharp:language:Exec,java:language:Exec,kotlin:language:Exec,swift:language:Exec
416,Tailcall,language,-1,go:language:Tailcall,rust:language:Tailcall,cpp:language:Tailcall,c:language:Tailcall,python:language:Tailcall,zig:language:Tailcall,julia:language:Tailcall,nim:language:Tailcall,csharp:language:Tailcall,java:language:Tailcall,kotlin:language:Tailcall,swift:language:Tailcall
417,returnValue,language,1,go:language:returnValue,rust:language:returnValue,cpp:language:returnValue,c:language:returnValue,python:language:returnValue,zig:language:returnValue,julia:language:returnValue,nim:language:returnValue,csharp:language:returnValue,java:language:returnValue,kotlin:language:returnValue,swift:language:returnValue
418,sys.parent,runtime,-1,go:runtime:sys.parent,rust:runtime:sys.parent,cpp:runtime:sys.parent,c:runtime:sys.parent,python:runtime:sys.parent,zig:runtime:sys.parent,julia:runtime:sys.parent,nim:runtime:sys.parent,csharp:runtime:sys.parent,java:runtime:sys.parent,kotlin:runtime:sys.parent,swift:runtime:sys.parent
419,sys.call,runtime,-1,go:runtime:sys.call,rust:runtime:sys.call,cpp:runtime:sys.call,c:runtime:sys.call,python:runtime:sys.call,zig:runtime:sys.call,julia:runtime:sys.call,nim:runtime:sys.call,csharp:runtime:sys.call,java:runtime:sys.call,kotlin:runtime:sys.call,swift:runtime:sys.call
420,sys.frame,runtime,-1,go:runtime:sys.frame,rust:runtime:sys.frame,cpp:runtime:sys.frame,c:runtime:sys.frame,python:runtime:sys.frame,zig:runtime:sys.frame,julia:runtime:sys.frame,nim:runtime:sys.frame,csharp:runtime:sys.frame,java:runtime:sys.frame,kotlin:runtime:sys.frame,swift:runtime:sys.frame
421,sys.nframe,runtime,-1,go:runtime:sys.nframe,rust:runtime:sys.nframe,cpp:runtime:sys.nframe,c:runtime:sys.nframe,python:runtime:sys.nframe,zig:runtime:sys.nframe,julia:runtime:sys.nframe,nim:runtime:sys.nframe,csharp:runtime:sys.nframe,java:runtime:sys.nframe,kotlin:runtime:sys.nframe,swift:runtime:sys.nframe
422,sys.calls,runtime,-1,go:runtime:sys.calls,rust:runtime:sys.calls,cpp:runtime:sys.calls,c:runtime:sys.calls,python:runtime:sys.calls,zig:runtime:sys.calls,julia:runtime:sys.calls,nim:runtime:sys.calls,csharp:runtime:sys.calls,java:runtime:sys.calls,kotlin:runtime:sys.calls,swift:runtime:sys.calls
423,sys.frames,runtime,-1,go:runtime:sys.frames,rust:runtime:sys.frames,cpp:runtime:sys.frames,c:runtime:sys.frames,python:runtime:sys.frames,zig:runtime:sys.frames,julia:runtime:sys.frames,nim:runtime:sys.frames,csharp:runtime:sys.frames,java:runtime:sys.frames,kotlin:runtime:sys.frames,swift:runtime:sys.frames
424,sys.on.exit,runtime,-1,go:runtime:sys.on.exit,rust:runtime:sys.on.exit,cpp:runtime:sys.on.exit,c:runtime:sys.on.exit,python:runtime:sys.on.exit,zig:runtime:sys.on.exit,julia:runtime:sys.on.exit,nim:runtime:sys.on.exit,csharp:runtime:sys.on.exit,java:runtime:sys.on.exit,kotlin:runtime:sys.on.exit,swift:runtime:sys.on.exit
425,sys.parents,runtime,-1,go:runtime:sys.parents,rust:runtime:sys.parents,cpp:runtime:sys.parents,c:runtime:sys.parents,python:runtime:sys.parents,zig:runtime:sys.parents,julia:runtime:sys.parents,nim:runtime:sys.parents,csharp:runtime:sys.parents,java:runtime:sys.parents,kotlin:runtime:sys.parents,swift:runtime:sys.parents
426,sys.function,runtime,-1,go:runtime:sys.function,rust:runtime:sys.function,cpp:runtime:sys.function,c:runtime:sys.function,python:runtime:sys.function,zig:runtime:sys.function,julia:runtime:sys.function,nim:runtime:sys.function,csharp:runtime:sys.function,java:runtime:sys.function,kotlin:runtime:sys.function,swift:runtime:sys.function
427,traceback,runtime,1,go:runtime:traceback,rust:runtime:traceback,cpp:runtime:traceback,c:runtime:traceback,python:runtime:traceback,zig:runtime:traceback,julia:runtime:traceback,nim:runtime:traceback,csharp:runtime:traceback,java:runtime:traceback,kotlin:runtime:traceback,swift:runtime:traceback
428,browserText,runtime,1,go:runtime:browserText,rust:runtime:browserText,cpp:runtime:browserText,c:runtime:browserText,python:runtime:browserText,zig:runtime:browserText,julia:runtime:browserText,nim:runtime:browserText,csharp:runtime:browserText,java:runtime:browserText,kotlin:runtime:browserText,swift:runtime:browserText
429,browserCondition,runtime,1,go:runtime:browserCondition,rust:runtime:browserCondition,cpp:runtime:browserCondition,c:runtime:browserCondition,python:runtime:browserCondition,zig:runtime:browserCondition,julia:runtime:browserCondition,nim:runtime:browserCondition,csharp:runtime:browserCondition,java:runtime:browserCondition,kotlin:runtime:browserCondition,swift:runtime:browserCondition
430,browserSetDebug,runtime,1,go:runtime:browserSetDebug,rust:runtime:browserSetDebug,cpp:runtime:browserSetDebug,c:runtime:browserSetDebug,python:runtime:browserSetDebug,zig:runtime:browserSetDebug,julia:runtime:browserSetDebug,nim:runtime:browserSetDebug,csharp:runtime:browserSetDebug,java:runtime:browserSetDebug,kotlin:runtime:browserSetDebug,swift:runtime:browserSetDebug
431,parent.frame,runtime,1,go:runtime:parent.frame,rust:runtime:parent.frame,cpp:runtime:parent.frame,c:runtime:parent.frame,python:runtime:parent.frame,zig:runtime:parent.frame,julia:runtime:parent.frame,nim:runtime:parent.frame,csharp:runtime:parent.frame,java:runtime:parent.frame,kotlin:runtime:parent.frame,swift:runtime:parent.frame
432,sort,ordering,2,go:ordering:sort,rust:ordering:sort,cpp:ordering:sort,c:ordering:sort,python:ordering:sort,zig:ordering:sort,julia:ordering:sort,nim:ordering:sort,csharp:ordering:sort,java:ordering:sort,kotlin:ordering:sort,swift:ordering:sort
433,is.unsorted,ordering,3,go:ordering:is.unsorted,rust:ordering:is.unsorted,cpp:ordering:is.unsorted,c:ordering:is.unsorted,python:ordering:is.unsorted,zig:ordering:is.unsorted,julia:ordering:is.unsorted,nim:ordering:is.unsorted,csharp:ordering:is.unsorted,java:ordering:is.unsorted,kotlin:ordering:is.unsorted,swift:ordering:is.unsorted
434,sorted_fpass,ordering,3,go:ordering:sorted_fpass,rust:ordering:sorted_fpass,cpp:ordering:sorted_fpass,c:ordering:sorted_fpass,python:ordering:sorted_fpass,zig:ordering:sorted_fpass,julia:ordering:sorted_fpass,nim:ordering:sorted_fpass,csharp:ordering:sorted_fpass,java:ordering:sorted_fpass,kotlin:ordering:sorted_fpass,swift:ordering:sorted_fpass
435,psort,ordering,2,go:ordering:psort,rust:ordering:psort,cpp:ordering:psort,c:ordering:psort,python:ordering:psort,zig:ordering:psort,julia:ordering:psort,nim:ordering:psort,csharp:ordering:psort,java:ordering:psort,kotlin:ordering:psort,swift:ordering:psort
436,qsort,runtime,2,go:runtime:qsort,rust:runtime:qsort,cpp:runtime:qsort,c:runtime:qsort,python:runtime:qsort,zig:runtime:qsort,julia:runtime:qsort,nim:runtime:qsort,csharp:runtime:qsort,java:runtime:qsort,kotlin:runtime:qsort,swift:runtime:qsort
437,radixsort,runtime,-1,go:runtime:radixsort,rust:runtime:radixsort,cpp:runtime:radixsort,c:runtime:radixsort,python:runtime:radixsort,zig:runtime:radixsort,julia:runtime:radixsort,nim:runtime:radixsort,csharp:runtime:radixsort,java:runtime:radixsort,kotlin:runtime:radixsort,swift:runtime:radixsort
438,order,ordering,-1,go:ordering:order,rust:ordering:order,cpp:ordering:order,c:ordering:order,python:ordering:order,zig:ordering:order,julia:ordering:order,nim:ordering:order,csharp:ordering:order,java:ordering:order,kotlin:ordering:order,swift:ordering:order
439,rank,ordering,3,go:ordering:rank,rust:ordering:rank,cpp:ordering:rank,c:ordering:rank,python:ordering:rank,zig:ordering:rank,julia:ordering:rank,nim:ordering:rank,csharp:ordering:rank,java:ordering:rank,kotlin:ordering:rank,swift:ordering:rank
440,scan,runtime,19,go:runtime:scan,rust:runtime:scan,cpp:runtime:scan,c:runtime:scan,python:runtime:scan,zig:runtime:scan,julia:runtime:scan,nim:runtime:scan,csharp:runtime:scan,java:runtime:scan,kotlin:runtime:scan,swift:runtime:scan
441,t.default,matrix,1,go:matrix:t.default,rust:matrix:t.default,cpp:matrix:t.default,c:matrix:t.default,python:matrix:t.default,zig:matrix:t.default,julia:matrix:t.default,nim:matrix:t.default,csharp:matrix:t.default,java:matrix:t.default,kotlin:matrix:t.default,swift:matrix:t.default
442,aperm,matrix,3,go:matrix:aperm,rust:matrix:aperm,cpp:matrix:aperm,c:matrix:aperm,python:matrix:aperm,zig:matrix:aperm,julia:matrix:aperm,nim:matrix:aperm,csharp:matrix:aperm,java:matrix:aperm,kotlin:matrix:aperm,swift:matrix:aperm
443,builtins,environment,1,go:environment:builtins,rust:environment:builtins,cpp:environment:builtins,c:environment:builtins,python:environment:builtins,zig:environment:builtins,julia:environment:builtins,nim:environment:builtins,csharp:environment:builtins,java:environment:builtins,kotlin:environment:builtins,swift:environment:builtins
444,args,runtime,1,go:runtime:args,rust:runtime:args,cpp:runtime:args,c:runtime:args,python:runtime:args,zig:runtime:args,julia:runtime:args,nim:runtime:args,csharp:runtime:args,java:runtime:args,kotlin:runtime:args,swift:runtime:args
445,formals,runtime,1,go:runtime:formals,rust:runtime:formals,cpp:runtime:formals,c:runtime:formals,python:runtime:formals,zig:runtime:formals,julia:runtime:formals,nim:runtime:formals,csharp:runtime:formals,java:runtime:formals,kotlin:runtime:formals,swift:runtime:formals
446,body,runtime,1,go:runtime:body,rust:runtime:body,cpp:runtime:body,c:runtime:body,python:runtime:body,zig:runtime:body,julia:runtime:body,nim:runtime:body,csharp:runtime:body,java:runtime:body,kotlin:runtime:body,swift:runtime:body
447,bodyCode,runtime,1,go:runtime:bodyCode,rust:runtime:bodyCode,cpp:runtime:bodyCode,c:runtime:bodyCode,python:runtime:bodyCode,zig:runtime:bodyCode,julia:runtime:bodyCode,nim:runtime:bodyCode,csharp:runtime:bodyCode,java:runtime:bodyCode,kotlin:runtime:bodyCode,swift:runtime:bodyCode
448,environment,environment,1,go:environment:environment,rust:environment:environment,cpp:environment:environment,c:environment:environment,python:environment:environment,zig:environment:environment,julia:environment:environment,nim:environment:environment,csharp:environment:environment,java:environment:environment,kotlin:environment:environment,swift:environment:environment
